@relation JKW_TWCL_2

@attribute TWEETCL2_ string
@attribute @@class@@ {POS,NEG}

@data
'pak manis juga ternyata',POS
'tante dukung kah salam jari',POS
'ada adalah peningkatan kualitas guru sertifikasi sertifikasi ada di',POS
'tak akan hapus sertifikasi guru',POS
'salam jari',POS
'suka dengan perubahan ke arah lebih baik di tangan kerja istana baik',POS
'basi tetap melaju',POS
'ini komentar media internasional soal lagu salam dua jari salam jari',POS
'kebanggaan seniman pendukung adalah tidak ada',POS
'gue bikin no yang ayo pilih',POS
'yakin tetap unggul',POS
'menabung harapan untuk indonesia bersama kita',POS
'kampanye di juni',POS
'orang cerdas pilih',POS
'teh jadi',POS
'on salam jari jangan lupa coblos prahara',POS
'istri bupati seribu tanda tangan untuk',POS
'ya semua prestasi itu kurang apaan di berita ada kan dia kerja di',POS
'hari santri nasional apresiasi kearifan lokal',POS
'seniman yang kerap golput pilih',POS
'tenang menang kok tuhan tidak akan membiarkan iblis jahat menang masa tuhan kalah iblis itu',POS
'media komunitas sobat di dukung',POS
'ayo mari gabung seribu pendukung bareng debat di tugu proklamasi',POS
'alasan memilih salam jari',POS
'buruh dan deklarasi',POS
'kharisma kerakyatan jadi faktor surplus',POS
'kreativitas manusia sumber daya ekonomi utama ekonomi kreatif beragam harus ruang oleh negara',POS
'lebih deklarasi sahur on untuk bersama',POS
'gue banget sama tapi karena lebih baik dari dia maka gue ada alasan untuk pilih dia',POS
'pemilihan presiden adalah kegembiraan politik',POS
'visi misi terkait isu jauh lebih baik',POS
'yakin raih persen di',POS
'hidup satu bendera tangga',POS
'kalau bukan kita siapa lagi adalah kita kesimpulan kalau bukan siapa lagi',POS
'komunikasi kan dua arah jadi selama dan wartawan saling ada masalah kalo soal mau lagi',POS
'kalau negara kita mau maju indonesia harus memiliki manusia manusia dengan mental juara itu',POS
'pilih karena dan jauh dari korupsi',POS
'mau bodoh dungu koruptor masalah penting bukti bukan koar aja basi tau salam jari hidup',POS
'bantu relawan',POS
'cak sesumbar raih persen di',POS
'bukti pak pak selalu tunggal indonesia jeda iklan',POS
'gue bukan dan demi allah gue sama sekali buat ini demi kebaikan negara',POS
'pilih karena dan jauh dari korupsi kampanye',POS
'yuk para relawan nomor mudah',POS
'negara ini harus menjadi negara produksi bukan negara konsumsi',POS
'penyandang dukung jadi presiden',POS
'indonesia allah terwujud bersama pasangan nomor salam jari',POS
'mari kita dukung menjadi macan dan dukung presiden',POS
'menciptakan lapangan kerja baru bagi juta tenaga kerja kata sementara tim ekonomi arif',POS
'kurang dari tahun sudah membersihkan dan membangun taman baru seperti waduk dan waduk ria prestasi',POS
'dari orang di bilang banyak perubahan di',POS
'kita akan mengirim pada negara undang tenaga kerja jelas',POS
'salam dua jari jangan lupa',POS
'janji hari santri nasional',POS
'sejak kecil saya tak pernah mimpi jadi presiden',POS
'hubungan indonesia soal dan kewibawaan',POS
'pendukung gelar spanduk sindir garuda merah',POS
'tetangga lewat',POS
'terang pilih',POS
'no bekerja abjad indonesia dan adalah',POS
'mantap saya dukung',POS
'ratusan alumni dan pakar di media berat',POS
'tanggal pesta demokrasi jari lupa',POS
'wah yang di tugu proklamasi makin menguatkan dukungan pada',POS
'ragu lagi pilih pak saya merasakan pak saat memimpin',POS
'konser di bandung kami dukung salam jari',POS
'video dokumentasi swadaya sumbangan istimewa',POS
'jika terpilih akan dan kesejahteraan prajurit',POS
'kamera bukan cari kamera',POS
'dengan dua tukang becak dan keluarga supir',POS
'komunitas sobat di dukung mantap nih',POS
'junjung tinggi bineka tunggal dan pancasila',POS
'giring yakin pilih setelah debat',POS
'ratusan alumni dan pakar di media',POS
'hidup ratusan alumni dan pakar di media',POS
'info alasan gede berlabuh ke',POS
'iya sudah membuktikan secara sederhana bahwa masalah distribusi bisa jika ada sedikit kemauan dari pemerintah',POS
'ide mahal kemahalan nilai bila ada tren ide membuka mata perubahan',POS
'tepis fitnah dengan kerja nyata pak',POS
'adalah satu pembawa perubahan ke arah lebih baik terbukti solo dan mengubah mental birokrasi',POS
'visi misi jelas banget jadi bingung pilihan',POS
'tak akan menghapus sertifikasi guru salam jari',POS
'tim sukses pemenangan membentuk satuan tugas khusus anti kecurangan dan politik',POS
'berharap menang dan siap menunggu minggu ratusan alumni dan',POS
'industri kreatif harus maju',POS
'pengusaha apresiasi penjelasan soal',POS
'bikin nih ini pak juga tiap kamera pasti senyum ah aku lah pak',POS
'sudah membuktikan secara sederhana bahwa masalah distribusi bisa jika ada sedikit kemauan dari pemerintah',POS
'keliling ganjar suara merdeka',POS
'kopiah gus dur untuk via',POS
'melakukan penggalangan dana kampanye untuk karena kesederhanaan sosok figur visi dan misi nomor urut',POS
'dua tersebut pak kan sosok yang sangat sederhana beliau berteman dekat dengan rakyat pedagang juga dan',POS
'ratusan alumni dan pakar di media ratusan itu bukan jutaan',POS
'no urut pasti baik orang',POS
dukung,POS
'minta proaktif potensi pelanggaran kampanye',POS
'pendukung yang aktif kontribusi nyata untuk masa depan bangsa bersama',POS
'kebanggaan seniman pendukung ada semua nurani jernih tulus',POS
'salam jari jangan lupa tanggal juli pilih',POS
'karya animasi untuk via',POS
'salam jari setiap lihat pak senyum ikut senyum',POS
'seribu pendukung bareng debat di tugu proklamasi salam jari',POS
'yang terjadi tetap pilih itu pilihan yang terbaik salam jari',POS
'jumlah relawan satu juta',POS
'no bekerja no bekerja no bekerja no bekerja semangat pak',POS
'itu hak anak bangsa kita juga kenal mereka kata demokrasi kegembiraan itu',POS
'anak muda tak lagi golput karena',POS
'bicara bocor setiap hari dan',POS
'dan restorasi maritim',POS
'seribu pendukung bareng debat di tugu proklamasi via',POS
'ada yu salam dua ini kenapa si orang orang saya kenal dan berada saya ada dukung',POS
'kalo sebelah kebanggaan seniman pendukung adalah tidak ada semuanya karena nurani',POS
'bareng relawan seribu ikan persen suara bareng diad',POS
'internasional apresiasi gagasan soal pendidikan calon presiden nomor urut mengap',POS
'internasional apresiasi gagasan soal pendidikan',POS
'bisa indonesia poros maritim dunia',POS
'bisa kepercayaan rakyat',POS
'banyak banget seniman indonesia yang dukung mantap',POS
'alumni deklarasi dukung',POS
'alumni sekolah kompak dukung',POS
'salam dua jari jangan lupa pilih nyanyi',POS
'dari debat pak pak memang terbukti mereka adalah pekerja keras bekerja cepat bukan tukang obat jago pidato',POS
'komunitas sobat di dukung',POS
